DATA_TIMESTAMP,tn,tx,tavg,rh_avg,rr,ss,ff_x,ddd_x,ff_avg,ddd_car,KABUPATEN,JUMLAH_HOTSPOT
2018-02-08,22.0,30.6,25.5,89.0,8.1,0.0,2.0,210.0,1.0,N ,BARITO SELATAN,0
2018-03-08,23.0,31.0,26.4,86.0,11.0,3.0,2.0,130.0,1.0,N ,BARITO SELATAN,0
2018-04-08,,31.6,26.5,85.0,,3.1,2.0,210.0,1.0,N ,BARITO SELATAN,0
2018-05-08,21.0,33.0,27.0,83.0,,4.6,4.0,160.0,1.0,N ,BARITO SELATAN,0
2018-06-08,22.0,31.7,27.3,82.0,,7.4,2.0,180.0,1.0,N ,BARITO SELATAN,1
2018-07-08,22.0,32.0,26.5,87.0,,3.5,4.0,270.0,2.0,N ,BARITO SELATAN,0
2018-08-08,22.0,33.7,27.4,85.0,,6.3,4.0,360.0,2.0,N ,BARITO SELATAN,14
2018-09-08,23.0,32.6,27.6,85.0,,5.6,4.0,310.0,2.0,N ,BARITO SELATAN,18
2018-10-08,23.0,32.2,27.4,84.0,,3.4,3.0,340.0,2.0,N ,BARITO SELATAN,48
2018-11-08,24.0,33.2,27.8,82.0,,0.7,3.0,180.0,1.0,N ,BARITO SELATAN,0
2018-12-08,24.0,34.2,27.7,82.0,,5.8,3.0,230.0,1.0,N ,BARITO SELATAN,0
2018-02-04,24.0,33.6,28.4,83.0,4.2,6.0,3.0,180.0,1.0,N ,BARITO SELATAN,0
2018-03-04,25.0,31.4,25.4,93.0,8888.0,8.0,4.0,270.0,1.0,N ,BARITO SELATAN,0
2018-04-04,23.0,33.2,27.3,84.0,14.6,2.5,3.0,150.0,2.0,E ,BARITO SELATAN,0
2018-05-04,24.0,34.6,28.2,83.0,,7.5,4.0,350.0,1.0,N ,BARITO SELATAN,0
2018-06-04,,31.0,27.4,85.0,0.5,8.5,7.0,360.0,3.0,N ,BARITO SELATAN,1
2018-07-04,24.0,33.4,27.9,82.0,,3.0,3.0,220.0,1.0,N ,BARITO SELATAN,0
2018-08-04,24.0,33.8,28.0,82.0,,5.7,4.0,90.0,2.0,N ,BARITO SELATAN,0
2018-09-04,24.0,33.4,27.2,85.0,,6.0,4.0,330.0,2.0,N ,BARITO SELATAN,3
2018-10-04,24.0,33.8,27.8,85.0,1.5,6.5,3.0,360.0,1.0,N ,BARITO SELATAN,71
2018-11-04,24.0,34.3,26.9,91.0,8.0,8.0,4.0,90.0,2.0,N ,BARITO SELATAN,0
2018-12-04,24.0,32.4,27.8,89.0,9.1,6.0,4.0,30.0,2.0,N ,BARITO SELATAN,0
2018-02-12,24.0,33.0,27.8,84.0,6.3,5.3,2.0,20.0,0.0,N ,BARITO SELATAN,0
2018-03-12,23.0,33.0,26.9,87.0,61.7,6.7,4.0,90.0,1.0,N ,BARITO SELATAN,0
2018-04-12,24.0,32.4,27.0,90.0,1.6,6.0,3.0,360.0,1.0,N ,BARITO SELATAN,0
2018-05-12,25.0,31.8,27.0,92.0,,2.1,5.0,40.0,2.0,N ,BARITO SELATAN,0
2018-06-12,24.0,31.2,25.8,94.0,4.3,2.1,3.0,360.0,1.0,N ,BARITO SELATAN,0
2018-07-12,23.0,31.8,26.1,94.0,1.5,2.3,2.0,200.0,1.0,N ,BARITO SELATAN,3
2018-08-12,24.0,31.2,26.1,92.0,28.2,3.4,3.0,180.0,1.0,N ,BARITO SELATAN,15
2018-09-12,24.0,33.4,27.5,84.0,44.2,1.9,2.0,90.0,1.0,N ,BARITO SELATAN,29
2018-10-12,24.0,33.2,28.5,86.0,,4.8,4.0,60.0,1.0,N ,BARITO SELATAN,4
2018-11-12,24.0,30.0,26.0,93.0,52.6,4.3,3.0,360.0,1.0,N ,BARITO SELATAN,0
2018-12-12,20.0,29.0,25.8,95.0,0.5,1.4,3.0,330.0,1.0,N ,BARITO SELATAN,0
2018-02-02,22.0,28.8,25.0,89.0,40.0,3.0,3.0,40.0,1.0,N ,BARITO SELATAN,0
2018-03-02,23.0,32.6,27.0,86.0,0.1,0.0,3.0,360.0,1.0,E ,BARITO SELATAN,0
2018-04-02,24.0,32.0,27.1,88.0,0.2,5.5,3.0,10.0,1.0,N ,BARITO SELATAN,0
2018-05-02,24.0,32.0,26.1,93.0,9.8,3.4,3.0,180.0,2.0,N ,BARITO SELATAN,0
2018-06-02,24.0,30.2,25.6,93.0,86.5,5.2,8.0,90.0,2.0,N ,BARITO SELATAN,0
2018-07-02,24.0,30.2,26.3,88.0,56.6,2.3,3.0,310.0,1.0,N ,BARITO SELATAN,0
2018-08-02,24.0,30.0,26.8,85.0,0.1,2.0,4.0,360.0,2.0,NE,BARITO SELATAN,0
2018-09-02,23.0,31.6,25.9,89.0,9.1,3.2,3.0,140.0,1.0,N ,BARITO SELATAN,0
2018-10-02,23.0,31.9,26.2,89.0,0.8,2.6,3.0,200.0,1.0,N ,BARITO SELATAN,10
2018-11-02,23.0,32.0,25.4,90.0,15.5,3.0,3.0,180.0,1.0,N ,BARITO SELATAN,0
2018-12-02,23.0,32.1,26.3,89.0,3.5,3.0,3.0,240.0,1.0,N ,BARITO SELATAN,0
2018-02-01,24.0,29.3,25.8,91.0,0.2,5.2,3.0,20.0,1.0,N ,BARITO SELATAN,0
2018-03-01,24.0,31.0,26.7,88.0,8888.0,0.9,3.0,90.0,1.0,N ,BARITO SELATAN,0
2018-04-01,24.0,32.2,27.7,86.0,,3.0,3.0,270.0,2.0,N ,BARITO SELATAN,0
2018-05-01,25.0,27.8,25.3,93.0,9.5,3.2,3.0,270.0,0.0,N ,BARITO SELATAN,0
2018-06-01,24.0,29.4,26.0,91.0,3.4,0.0,3.0,320.0,1.0,N ,BARITO SELATAN,0
2018-07-01,,29.2,24.5,90.0,6.6,0.0,3.0,360.0,0.0,N ,BARITO SELATAN,0
2018-08-01,23.0,31.2,26.2,89.0,5.2,0.0,3.0,340.0,1.0,N ,BARITO SELATAN,0
2018-09-01,24.0,32.9,27.4,87.0,,1.7,3.0,360.0,1.0,N ,BARITO SELATAN,0
2018-10-01,25.0,29.8,26.4,90.0,1.0,3.5,4.0,230.0,1.0,N ,BARITO SELATAN,19
2018-11-01,23.0,32.2,25.9,90.0,2.1,2.5,5.0,180.0,1.0,N ,BARITO SELATAN,5
2018-12-01,23.0,28.0,25.6,90.0,26.1,4.0,3.0,120.0,1.0,N ,BARITO SELATAN,0
2018-02-07,23.0,28.6,25.2,92.0,2.6,0.0,2.0,340.0,1.0,N ,BARITO SELATAN,0
2018-03-07,23.0,31.8,26.2,85.0,8888.0,0.0,4.0,210.0,2.0,N ,BARITO SELATAN,0
2018-04-07,23.0,30.2,26.2,84.0,,2.7,4.0,200.0,2.0,N ,BARITO SELATAN,0
2018-05-07,22.0,29.6,25.4,88.0,,2.6,4.0,360.0,2.0,N ,BARITO SELATAN,1
2018-06-07,22.0,31.8,26.5,85.0,,1.0,9.0,100.0,2.0,S ,BARITO SELATAN,0
2018-07-07,23.0,33.4,26.9,86.0,5.6,6.3,3.0,330.0,1.0,N ,BARITO SELATAN,0
2018-08-07,23.0,33.8,27.9,82.0,0.3,7.0,3.0,20.0,2.0,N ,BARITO SELATAN,11
2018-09-07,25.0,33.0,28.3,83.0,,7.0,3.0,180.0,2.0,S ,BARITO SELATAN,0
2018-10-07,22.0,32.0,27.0,83.0,,5.7,2.0,320.0,1.0,N ,BARITO SELATAN,4
2018-11-07,23.0,32.6,30.4,66.0,,4.3,3.0,180.0,1.0,N ,BARITO SELATAN,0
2018-12-07,21.0,32.0,26.6,81.0,,8.8,5.0,330.0,2.0,N ,BARITO SELATAN,0
2018-02-06,24.0,33.4,27.6,85.0,,2.7,2.0,320.0,0.0,N ,BARITO SELATAN,0
2018-03-06,23.0,32.8,27.7,84.0,,7.5,2.0,280.0,1.0,N ,BARITO SELATAN,0
2018-04-06,24.0,32.6,28.0,86.0,,4.8,4.0,140.0,1.0,N ,BARITO SELATAN,0
2018-05-06,24.0,34.6,28.6,81.0,,3.8,5.0,90.0,1.0,N ,BARITO SELATAN,0
2018-06-06,24.0,34.6,28.7,82.0,,9.2,4.0,280.0,2.0,N ,BARITO SELATAN,0
2018-07-06,24.0,34.2,28.5,85.0,6.2,7.2,2.0,320.0,1.0,N ,BARITO SELATAN,0
2018-08-06,25.0,33.4,28.6,85.0,,5.6,4.0,190.0,2.0,N ,BARITO SELATAN,0
2018-09-06,24.0,33.4,,,,5.3,3.0,300.0,2.0,N ,BARITO SELATAN,0
2018-10-06,23.0,33.0,27.1,91.0,,6.8,2.0,310.0,0.0,N ,BARITO SELATAN,1
2018-11-06,23.0,33.8,28.5,83.0,0.4,2.6,3.0,320.0,1.0,N ,BARITO SELATAN,0
2018-12-06,23.0,31.8,27.4,88.0,,8.0,3.0,190.0,1.0,N ,BARITO SELATAN,0
2018-02-03,22.0,33.2,26.6,86.0,5.6,0.0,5.0,360.0,2.0,S ,BARITO SELATAN,0
2018-03-03,23.0,33.0,26.9,86.0,4.7,7.3,3.0,360.0,2.0,N ,BARITO SELATAN,0
2018-04-03,,34.5,28.9,83.0,,6.5,3.0,260.0,2.0,E ,BARITO SELATAN,0
2018-05-03,23.0,31.8,27.1,87.0,18.4,8.5,4.0,310.0,2.0,N ,BARITO SELATAN,0
2018-06-03,24.0,30.8,26.1,91.0,18.6,4.3,3.0,270.0,1.0,N ,BARITO SELATAN,0
2018-07-03,24.0,31.2,26.1,87.0,2.9,2.8,4.0,270.0,2.0,N ,BARITO SELATAN,0
2018-08-03,23.0,32.5,27.3,86.0,17.7,3.1,3.0,220.0,1.0,N ,BARITO SELATAN,0
2018-09-03,24.0,34.5,28.0,83.0,1.2,5.2,4.0,50.0,1.0,N ,BARITO SELATAN,2
2018-10-03,25.0,32.0,27.9,82.0,15.4,8.0,5.0,360.0,2.0,N ,BARITO SELATAN,26
2018-11-03,24.0,34.6,28.5,81.0,,4.5,4.0,10.0,2.0,N ,BARITO SELATAN,0
2018-12-03,25.0,34.0,28.6,80.0,,8.8,4.0,180.0,2.0,N ,BARITO SELATAN,0
2018-02-05,23.0,29.4,25.3,91.0,12.1,7.0,3.0,350.0,1.0,N ,BARITO SELATAN,0
