latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-3.87281,122.40568,327.49,0.6,0.7,2025-03-01,0427,N20,VIIRS,n,2.0NRT,286.44,6.07,D
-3.87359,122.40034,325.61,0.6,0.7,2025-03-01,0427,N20,VIIRS,n,2.0NRT,287.29,13.09,D
-3.57724,126.55617,329.39,0.61,0.53,2025-03-01,0427,N20,VIIRS,n,2.0NRT,289.9,3.42,D
-3.87382,122.40274,328.18,0.6,0.7,2025-03-01,0427,N20,VIIRS,n,2.0NRT,287.28,10.63,D
0.48089,127.99179,335.31,0.42,0.45,2025-03-01,0429,N20,VIIRS,n,2.0NRT,291.74,4.67,D
0.48507,127.99126,331.19,0.42,0.45,2025-03-01,0429,N20,VIIRS,n,2.0NRT,288.21,4.67,D
1.24496,127.89823,333.46,0.42,0.45,2025-03-01,0429,N20,VIIRS,n,2.0NRT,288.09,2.56,D
0.5094,127.89857,326.93,0.43,0.46,2025-03-01,0429,N20,VIIRS,n,2.0NRT,289.81,5.87,D
0.47906,128.00755,327.69,0.42,0.45,2025-03-01,0429,N20,VIIRS,n,2.0NRT,289.99,5.51,D
0.47847,128.00369,328.67,0.42,0.45,2025-03-01,0429,N20,VIIRS,n,2.0NRT,291.15,8.17,D
0.48148,127.9956,331.45,0.42,0.45,2025-03-01,0429,N20,VIIRS,n,2.0NRT,290.78,4.67,D
-8.34957,112.95271,331.55,0.45,0.39,2025-03-01,0607,N20,VIIRS,l,2.0NRT,305.83,7,D
-7.6313,112.66653,332.2,0.44,0.39,2025-03-01,0607,N20,VIIRS,n,2.0NRT,301.74,5.44,D
-7.56032,112.61131,330.15,0.44,0.38,2025-03-01,0607,N20,VIIRS,l,2.0NRT,301.73,3.1,D
-7.69063,110.82376,337.81,0.39,0.36,2025-03-01,0607,N20,VIIRS,n,2.0NRT,300.62,5.6,D
-7.63507,110.82964,337.93,0.39,0.36,2025-03-01,0607,N20,VIIRS,n,2.0NRT,296.12,3.44,D
-7.54375,110.89426,330.23,0.39,0.36,2025-03-01,0607,N20,VIIRS,l,2.0NRT,301.04,2.17,D
-7.24153,111.73307,330.46,0.41,0.37,2025-03-01,0607,N20,VIIRS,n,2.0NRT,298.25,4.47,D
-6.95927,110.45877,335.29,0.39,0.36,2025-03-01,0607,N20,VIIRS,n,2.0NRT,299.17,4.76,D
-6.94949,110.50026,334.04,0.39,0.36,2025-03-01,0607,N20,VIIRS,n,2.0NRT,298.88,4.97,D
-6.93529,110.54831,333.44,0.39,0.36,2025-03-01,0607,N20,VIIRS,n,2.0NRT,296.52,5.75,D
-6.93034,110.55832,334.74,0.39,0.36,2025-03-01,0607,N20,VIIRS,n,2.0NRT,296.38,1.71,D
-6.92088,110.55328,330.51,0.39,0.36,2025-03-01,0607,N20,VIIRS,n,2.0NRT,298.89,2.63,D
-6.92143,110.54977,332.72,0.39,0.36,2025-03-01,0607,N20,VIIRS,n,2.0NRT,301.02,2.63,D
-6.93231,110.30383,330.15,0.39,0.36,2025-03-01,0607,N20,VIIRS,n,2.0NRT,298.93,3.35,D
-6.8361,110.82121,331,0.39,0.36,2025-03-01,0607,N20,VIIRS,n,2.0NRT,299.94,2.34,D
-6.7157,111.19868,347.77,0.4,0.37,2025-03-01,0607,N20,VIIRS,n,2.0NRT,298.95,4.71,D
-2.43814,106.18076,338.51,0.44,0.38,2025-03-01,0609,N20,VIIRS,n,2.0NRT,297.06,4.63,D
0.51644,111.95525,340.78,0.5,0.41,2025-03-01,0609,N20,VIIRS,n,2.0NRT,293.52,9.6,D
-2.48377,106.4561,330.4,0.43,0.38,2025-03-01,0609,N20,VIIRS,l,2.0NRT,301.17,1.46,D
0.5202,111.9547,334.47,0.5,0.41,2025-03-01,0609,N20,VIIRS,n,2.0NRT,293.55,9.6,D
-1.70774,106.03838,341.31,0.44,0.38,2025-03-01,0609,N20,VIIRS,n,2.0NRT,297.44,6.94,D
-1.5657,103.69745,333.71,0.39,0.44,2025-03-01,0609,N20,VIIRS,n,2.0NRT,294.86,2.48,D
-1.81812,136.74771,307.96,0.54,0.68,2025-03-01,1530,N20,VIIRS,n,2.0NRT,269.26,0.9,N
-8.11013,112.92285,356.39,0.33,0.56,2025-03-01,1711,N20,VIIRS,n,2.0NRT,299.4,6.83,N
-8.10834,112.92166,342.52,0.33,0.56,2025-03-01,1711,N20,VIIRS,n,2.0NRT,282.04,5.48,N
-8.1088,112.92419,298.58,0.33,0.56,2025-03-01,1711,N20,VIIRS,n,2.0NRT,280.63,3.87,N
-8.1132,112.91965,349.75,0.33,0.56,2025-03-01,1711,N20,VIIRS,n,2.0NRT,280.49,5.48,N
-8.11375,112.92268,313.99,0.33,0.56,2025-03-01,1711,N20,VIIRS,n,2.0NRT,284.77,3.87,N
2.78011,125.40581,318.59,0.4,0.37,2025-03-01,1711,N20,VIIRS,n,2.0NRT,283.12,1.99,N
1.70045,127.87842,343.36,0.53,0.42,2025-03-01,1711,N20,VIIRS,n,2.0NRT,283.58,5.77,N
1.70116,127.87392,302.86,0.53,0.42,2025-03-01,1711,N20,VIIRS,n,2.0NRT,280.78,2.81,N
1.69663,127.87779,318.86,0.53,0.42,2025-03-01,1711,N20,VIIRS,n,2.0NRT,280.6,5.77,N
1.49471,127.63564,311.22,0.52,0.41,2025-03-01,1711,N20,VIIRS,n,2.0NRT,281.74,2.76,N
0.68947,117.55354,297.54,0.45,0.47,2025-03-01,1711,N20,VIIRS,n,2.0NRT,277.26,1.62,N
0.68884,117.55754,309.33,0.45,0.47,2025-03-01,1711,N20,VIIRS,n,2.0NRT,277.36,1.37,N
-1.24782,122.59032,306.45,0.39,0.36,2025-03-01,1711,N20,VIIRS,n,2.0NRT,289.23,0.96,N
0.68396,117.56089,301.27,0.45,0.47,2025-03-01,1711,N20,VIIRS,n,2.0NRT,276.72,1.26,N
-8.53844,122.76559,304.88,0.4,0.37,2025-03-01,1711,N20,VIIRS,n,2.0NRT,264.12,0.65,N
-7.23712,111.72944,307.23,0.41,0.61,2025-03-01,1711,N20,VIIRS,n,2.0NRT,287.38,1.8,N
-7.236,111.73128,306.68,0.41,0.61,2025-03-01,1711,N20,VIIRS,n,2.0NRT,287.4,1.25,N
-7.24158,111.73029,306.97,0.41,0.61,2025-03-01,1711,N20,VIIRS,n,2.0NRT,287.55,0.95,N
-1.37996,122.48156,314.81,0.39,0.36,2025-03-01,1711,N20,VIIRS,n,2.0NRT,285.17,1.08,N
-8.10958,112.91971,330.94,0.33,0.56,2025-03-01,1711,N20,VIIRS,n,2.0NRT,278.11,6.83,N
-3.8745,122.39564,305.57,0.38,0.36,2025-03-01,1713,N20,VIIRS,n,2.0NRT,289.72,1.2,N
